mu,lambd,mutation_strength,mutation_probability,optimal_solution_x,optimal_solution_y,"bukin_function(optimal_solution[0], optimal_solution[1])",optimization_time
10,20,0.1,0.5,-14.686881800710564,2.157035013699797,0.36240931675604926,0.3811681270599365
10,20,0.1,0.9,-11.646426819727532,1.3563779443796582,0.39898607188235236,0.4350290298461914
10,20,0.1,0.99,-8.773518932960567,0.7697014792746,0.6820811703932983,0.37361907958984375
10,20,0.5,0.5,-9.962914641199879,0.9922854189922081,1.764634116655291,0.3709433078765869
10,20,0.5,0.9,-11.186288379499175,1.2513591368816384,0.547211260609446,0.37903499603271484
10,20,0.5,0.99,-12.036352984882244,1.4483407739600964,2.0132453796853014,0.3688318729400635
10,20,1.0,0.5,-5.1599613442626575,0.26625401498620915,0.18997168874184722,0.37396788597106934
10,20,1.0,0.9,-12.240967056129522,1.4984050438456555,0.29991366741333636,0.3707239627838135
10,20,1.0,0.99,-6.128653245164136,0.37565628459508627,0.7624440837122639,0.3745248317718506
10,100,0.1,0.5,-12.068191672193613,1.4564239123384102,0.3584683933222778,1.7487189769744873
10,100,0.1,0.9,-8.309363524423471,0.6904550133887473,0.06255956236706108,1.7493469715118408
10,100,0.1,0.99,-12.73949477986548,1.6229419067816138,0.25903433530195796,1.753208875656128
10,100,0.5,0.5,-12.184067323796045,1.4845338064945213,0.4559027261316633,1.7358930110931396
10,100,0.5,0.9,-12.02901762069256,1.4469471975688974,0.5247861665125425,1.7867588996887207
10,100,0.5,0.99,-6.31546266424207,0.3988619092024539,0.3718463897505835,1.731834888458252
10,100,1.0,0.5,-7.059191904481531,0.4982971238661489,0.5271989690492704,1.746126651763916
10,100,1.0,0.9,-8.205883659235443,0.6733585338201608,0.27741117924605774,1.7496259212493896
10,100,1.0,0.99,-11.039683597479323,1.2187464442851,0.06562007018774635,1.7445220947265625
10,200,0.1,0.5,-12.4955651008635,1.5613923799860296,0.12024924213878602,3.541696071624756
10,200,0.1,0.9,-7.060977450934602,0.49857824071233575,0.2346969780997704,3.6221630573272705
10,200,0.1,0.99,-7.066364013225781,0.49933078010121773,0.2348496904781745,3.428699254989624
10,200,0.5,0.5,-9.946524508467464,0.9893234423845704,0.31764027156337504,3.468513011932373
10,200,0.5,0.9,-5.4677581307875,0.2989606699755175,0.2219517597041149,3.434166669845581
10,200,0.5,0.99,-16.078198052965565,2.5851291037590967,0.7284454828986137,3.5558221340179443
10,200,1.0,0.5,-6.028048759058917,0.3633713189141743,0.19462276425533967,3.47194504737854
10,200,1.0,0.9,-8.91649660032268,0.7950319911932016,0.27776278560197326,3.6313529014587402
10,200,1.0,0.99,-4.817211395596446,0.23207102257000353,0.44889552966398133,3.680910110473633
50,20,0.1,0.5,-13.975422366308031,1.9531197262258226,0.25369209326890146,1.2282047271728516
50,20,0.1,0.9,-6.002901408367291,0.3603438429190475,0.2499773365949481,1.2154791355133057
50,20,0.1,0.99,-12.017120124932605,1.4440219478652692,0.967868966010285,1.2196440696716309
50,20,0.5,0.5,-10.018666615151869,1.0037805797500012,0.6617930023900774,1.2254488468170166
50,20,0.5,0.9,-6.754660956877824,0.45627228896961436,0.45485776917169035,1.226182222366333
50,20,0.5,0.99,-5.59956070732957,0.3134292891999889,1.1463289853380274,1.242527961730957
50,20,1.0,0.5,-4.447161555919344,0.19782032914435144,0.7474105989963654,1.2298550605773926
50,20,1.0,0.9,-13.888781014157429,1.9292228133886606,1.5894773640275153,1.3089520931243896
50,20,1.0,0.99,-10.205626153164543,1.041796989800294,1.5798332379535793,1.255887746810913
50,100,0.1,0.5,-12.872539709577651,1.6570236194182772,0.1200310235547362,5.875065088272095
50,100,0.1,0.9,-5.326401737431357,0.28370289413424543,0.20984793412941316,5.8996570110321045
50,100,0.1,0.99,-11.581374545540998,1.3412804094611284,0.1556057309550525,5.983525037765503
50,100,0.5,0.5,-12.059618410489271,1.4543436295512366,0.07826028742619823,5.998571872711182
50,100,0.5,0.9,-14.316096087052337,2.049529822485139,0.5305083522306355,5.862610816955566
50,100,0.5,0.99,-8.696318093534499,0.7563786037422852,1.104457466340532,6.008296966552734
50,100,1.0,0.5,-5.792837998473511,0.3355758405655035,0.289453913591265,5.918001174926758
50,100,1.0,0.9,-6.814190144471571,0.46421860817697175,1.0961187487867758,6.651806831359863
50,100,1.0,0.99,-4.037518269831083,0.1630483899885515,0.6327931726184794,10.072264909744263
50,200,0.1,0.5,-6.548201316035857,0.42878677503425455,0.19668207295965856,14.756898164749146
50,200,0.1,0.9,-4.85760384963158,0.23596471751909445,0.17656066830684042,13.125534057617188
50,200,0.1,0.99,-13.353757434021919,1.7832286248397,0.08341469770517601,12.343958139419556
50,200,0.5,0.5,-5.850763658842306,0.3423019745392608,0.39333575239573926,12.80474328994751
50,200,0.5,0.9,-9.060255955558619,0.8208822590205298,0.044151120023829746,12.224049806594849
50,200,0.5,0.99,-14.20020207339269,2.0164755843786346,0.46855948197099484,13.636691093444824
50,200,1.0,0.5,-11.23133417515042,1.2614611069853672,0.581817041030879,14.723644971847534
50,200,1.0,0.9,-10.674530194232071,1.1394337378341632,0.47802909710849306,13.685386896133423
50,200,1.0,0.99,-2.725981780088854,0.07430264338074352,0.3396347872485811,13.538201093673706
100,20,0.1,0.5,-7.365135428161584,0.542511811765148,0.7984432871888427,2.9022738933563232
100,20,0.1,0.9,-13.27992082176863,1.7635448386309325,0.45861247137100836,2.7875912189483643
100,20,0.1,0.99,-8.09744734539101,0.6557068824680945,0.47010594393567173,2.8149449825286865
100,20,0.5,0.5,-9.056801359424579,0.82015461778218,1.0188420050257525,2.820204973220825
100,20,0.5,0.9,-7.099672736254904,0.5040361004611916,0.44648570364967693,2.835486888885498
100,20,0.5,0.99,-9.51048912328226,0.9045727026386825,0.8918505641351572,3.6870038509368896
100,20,1.0,0.5,-4.728201801036926,0.22352084914649073,0.6697557992875713,3.522881031036377
100,20,1.0,0.9,-5.601734536934894,0.3137811802523972,0.4061700439023795,3.3314430713653564
100,20,1.0,0.99,-3.5120503025472356,0.12279697366198918,2.4058186551589453,3.7143638134002686
100,100,0.1,0.5,-7.308774911184511,0.5341836800044245,0.16006557690913303,14.634691953659058
100,100,0.1,0.9,-8.490206774366241,0.7208283332690731,0.29397865713694643,12.820480108261108
